==========	0	==========
government	0.00714685
law	0.00670548
key	0.00546464
public	0.00546099
use	0.00520087
people	0.00518363
legal	0.00467164
state	0.00421655
encryption	0.00416635
clipper	0.0040233
federal	0.00392334
chip	0.00372225
court	0.00366108
keys	0.00354463
right	0.00348093
private	0.00343189
police	0.00336533
gun	0.00331572
security	0.0032956
phone	0.00326417
==========	1	==========
space	0.00741526
data	0.00434077
information	0.00361232
systems	0.00344425
research	0.00342865
available	0.00339765
technical	0.00314149
project	0.00311882
computer	0.00309502
science	0.00295577
large	0.00283415
technology	0.00279411
university	0.00267307
date	0.00263213
based	0.00252767
program	0.00239102
low	0.00236324
includes	0.00231387
launch	0.00221289
include	0.00219036
==========	2	==========
dont	0.0183744
list	0.00717001
im	0.00626844
time	0.00585586
say	0.00558335
like	0.00552954
just	0.00544779
sorry	0.00498182
service	0.00490939
know	0.00460416
case	0.00446996
begin	0.00431551
hey	0.00413793
think	0.00367994
new	0.00367834
make	0.00364018
makes	0.00358692
want	0.00352624
send	0.0034231
waste	0.00333998
==========	3	==========
like	0.0205388
just	0.0174104
know	0.0121492
id	0.010303
dont	0.00941979
does	0.00899648
car	0.00792595
im	0.0076636
think	0.00737925
say	0.00720634
sure	0.0071756
long	0.0071177
used	0.00707232
difference	0.0068881
air	0.00658635
ground	0.00618647
probably	0.00608611
want	0.0057447
work	0.0054615
ill	0.00507434
==========	4	==========
news	0.00764199
new	0.00670827
th	0.0066759
san	0.00609577
year	0.00520134
city	0.00491327
early	0.00469526
california	0.00467495
st	0.00438836
west	0.00423384
mailing	0.00406683
east	0.00331687
contact	0.00311747
colorado	0.00310429
york	0.00310306
blue	0.00308145
white	0.00293234
april	0.0028761
local	0.00286677
days	0.00284979
==========	5	==========
soon	0.0154092
think	0.00862401
like	0.00840454
dont	0.0078704
banks	0.00721887
gordon	0.00707386
just	0.00694866
surrender	0.00664751
believe	0.00577917
intellect	0.00558165
skepticism	0.00551059
shameful	0.00543953
years	0.0053832
year	0.00535803
chastity	0.00522636
good	0.00507205
really	0.00493259
wont	0.00458711
dave	0.00451342
im	0.00442993
==========	6	==========
people	0.0137177
think	0.00561724
dont	0.00523595
right	0.00501985
just	0.00494001
like	0.00447042
israel	0.0043419
state	0.00432759
country	0.0042751
did	0.00405279
jews	0.00390791
say	0.00389601
war	0.00385385
government	0.00380426
case	0.00380239
point	0.00369856
fact	0.00367524
israeli	0.00355864
make	0.00344046
killed	0.00330415
==========	7	==========
know	0.0302172
like	0.0185144
im	0.017352
dont	0.0156299
thanks	0.0153985
looking	0.0137813
want	0.0119106
mail	0.0118624
does	0.0103829
just	0.0095342
anybody	0.00931099
ive	0.00868753
info	0.00799216
need	0.00784761
wondering	0.00735743
advance	0.00730728
use	0.00710754
buy	0.00696306
appreciated	0.00622173
hi	0.00620168
==========	8	==========
group	0.00602333
day	0.00529526
excuse	0.00523106
area	0.00471058
work	0.00400644
know	0.00394961
deleted	0.0038055
like	0.00380302
title	0.00371643
new	0.00344913
order	0.00337725
stuff	0.00324889
story	0.00306443
david	0.00299689
appear	0.00293433
just	0.00284606
dr	0.00273542
sent	0.00267225
second	0.0026372
does	0.00261706
==========	9	==========
plan	0.00263079
support	0.00243262
new	0.00236393
states	0.00231332
united	0.00214408
president	0.00212312
public	0.00201359
money	0.00197167
years	0.0019649
care	0.0017752
april	0.00174743
press	0.00172818
recent	0.00170487
long	0.00168849
national	0.00168515
time	0.00168452
health	0.00168449
week	0.00167947
people	0.00166994
work	0.00166958
==========	10	==========
using	0.00992649
use	0.00881995
file	0.00859511
program	0.00816461
windows	0.00756925
window	0.00679786
problem	0.00650605
files	0.00616412
code	0.00615856
set	0.00574626
running	0.0057324
run	0.00501069
help	0.00488013
application	0.00447013
server	0.00417233
does	0.00413102
display	0.00411641
image	0.00400153
work	0.00397812
like	0.00388737
==========	11	==========
win	0.00873107
st	0.00830314
nd	0.00611131
rd	0.00600297
new	0.00599465
second	0.00592935
games	0.00588485
series	0.00571852
la	0.00566918
team	0.00545546
cup	0.00540227
goals	0.0051228
chicago	0.00489571
period	0.00469652
goal	0.00438185
play	0.00422828
pittsburgh	0.00411751
toronto	0.00409527
division	0.00409483
wings	0.00394339
==========	12	==========
drive	0.0104929
use	0.00861229
need	0.00617621
hard	0.00614436
used	0.00595382
disk	0.00573613
like	0.00563036
sale	0.00559642
pc	0.0054416
does	0.00530449
new	0.00520615
computer	0.00509337
card	0.00498559
mac	0.00496803
work	0.00476942
memory	0.00472201
mb	0.00462982
bit	0.00440675
board	0.00436528
power	0.00425039
==========	13	==========
just	0.010834
dont	0.0082508
probably	0.00783747
like	0.00750674
gas	0.00677993
look	0.00671439
power	0.0062596
way	0.00613632
used	0.00579456
water	0.00554457
ago	0.00532095
stuff	0.00504682
small	0.00503887
use	0.00497728
oil	0.00495094
know	0.0049028
real	0.00488111
hot	0.00481789
far	0.00465986
theres	0.00448403
==========	14	==========
know	0.0101371
help	0.0099806
drivers	0.00901462
card	0.00875477
ive	0.00868455
just	0.00815592
problem	0.00775377
windows	0.00754473
tell	0.00733834
driver	0.00729563
problems	0.00713118
new	0.00703051
graphics	0.00684197
got	0.00656857
need	0.0062133
like	0.00577724
im	0.00571034
dont	0.00537305
heard	0.00527105
getting	0.00506742
==========	15	==========
god	0.00733585
people	0.00704259
believe	0.00575738
say	0.00536386
think	0.00488064
dont	0.00453425
does	0.00412649
life	0.00372356
way	0.00369398
point	0.00360069
fact	0.003442
said	0.00341643
know	0.00338833
jesus	0.00338016
did	0.00334494
things	0.00331371
true	0.00323058
bible	0.00317845
time	0.0031225
christian	0.00311614
==========	16	==========
good	0.00869611
think	0.00683679
better	0.00678306
make	0.00485559
world	0.0047488
im	0.00455911
way	0.00430893
league	0.00427378
year	0.00419163
just	0.00400432
got	0.00399137
base	0.00385488
didnt	0.00374449
time	0.00361432
perfect	0.00353614
run	0.00346664
dont	0.00345342
certainly	0.00330084
great	0.00328436
thats	0.00322506
==========	17	==========
post	0.0163994
read	0.0132117
does	0.00912873
question	0.00908078
posted	0.00879276
address	0.00870901
good	0.00795294
posting	0.00788651
think	0.00761509
just	0.00692541
ive	0.0069022
reading	0.00681331
actually	0.00678617
know	0.00622102
kind	0.00620449
way	0.0060982
make	0.00603796
posts	0.00554489
subject	0.00552064
questions	0.00545785
==========	18	==========
years	0.00348554
women	0.00347414
children	0.00316723
took	0.0028975
left	0.00279743
away	0.00279355
saw	0.00273323
turkish	0.00263558
went	0.00260889
came	0.00258321
armenians	0.00257801
armenian	0.00257801
dead	0.0025187
said	0.00248387
town	0.00237214
old	0.00235432
happened	0.00231833
did	0.00230782
army	0.00225113
blood	0.00219722
==========	19	==========
think	0.013057
just	0.0117217
good	0.0110823
dont	0.00941808
going	0.00938137
like	0.00857173
did	0.00833795
time	0.00813412
game	0.00804636
didnt	0.00784326
got	0.00709365
bad	0.00691907
year	0.00676738
really	0.0066174
better	0.0064636
right	0.00612694
say	0.00603191
team	0.00588568
hes	0.00562057
play	0.00561207
