==========	0	==========
new	0.00797876
market	0.00726637
trade	0.00626502
cent	0.00609029
million	0.00607479
price	0.00578201
year	0.00538233
report	0.0053418
compani	0.00517529
stock	0.00499012
percent	0.00484365
nation	0.00434483
bank	0.00430785
share	0.00415245
month	0.00406692
york	0.00404847
govern	0.00404112
state	0.00358097
offici	0.00356405
product	0.0034795
==========	1	==========
percent	0.00989864
year	0.00751156
peopl	0.00567766
presid	0.00566887
state	0.00560474
nation	0.00497943
new	0.00497261
report	0.00472521
bush	0.00471001
say	0.0045009
dollar	0.00412211
govern	0.00396261
billion	0.00380788
group	0.00365232
west	0.00360645
offici	0.00360201
democrat	0.00347288
member	0.00345538
polic	0.00326132
time	0.00325414
==========	2	==========
percent	0.00880599
year	0.0080111
million	0.0064618
state	0.00625705
peopl	0.00585329
new	0.00540875
offici	0.00514969
soviet	0.004969
report	0.00480359
presid	0.00416258
american	0.00386014
say	0.00343172
govern	0.00325239
bush	0.00324021
day	0.00308207
today	0.00298636
unit	0.0029536
time	0.00294446
month	0.00282406
nation	0.00280782
==========	3	==========
report	0.00572368
say	0.00490236
peopl	0.00476164
polic	0.004521
plan	0.00433509
year	0.00430791
state	0.00396351
new	0.00388538
student	0.00366189
govern	0.00356421
school	0.00342946
hous	0.00338161
day	0.00335672
time	0.00321978
nation	0.00308187
friday	0.00299451
offic	0.0028961
presid	0.00286182
week	0.00270636
offici	0.00260127
==========	4	==========
year	0.0078545
state	0.00720579
percent	0.0071123
new	0.00550311
peopl	0.00490238
soviet	0.00463756
report	0.0046286
nation	0.00439091
govern	0.00408257
offici	0.00407123
presid	0.00377843
time	0.00371179
forc	0.00346291
kill	0.00338918
bush	0.00334622
unit	0.00326737
work	0.00322695
day	0.00310314
countri	0.00309131
million	0.00306512
==========	5	==========
year	0.00750608
percent	0.00716243
million	0.00617713
state	0.00613708
presid	0.00460595
govern	0.00441594
new	0.00439369
offici	0.00431795
say	0.00402571
peopl	0.00368622
day	0.00358112
time	0.00352781
report	0.00338386
nation	0.00335991
week	0.00326067
polic	0.00313611
home	0.00305973
rate	0.00296386
market	0.00294009
month	0.00291776
==========	6	==========
state	0.00637946
new	0.00571692
say	0.00539404
year	0.00528774
peopl	0.00462857
parti	0.00461639
presid	0.00450634
time	0.0043243
offici	0.004247
govern	0.00413317
unit	0.00392156
soviet	0.0037619
million	0.00353908
day	0.00345544
nation	0.00341738
report	0.00330908
hous	0.00320195
percent	0.0031677
american	0.00300591
union	0.00296726
==========	7	==========
year	0.0108616
court	0.00577583
govern	0.00540784
state	0.00507821
polic	0.00507645
new	0.00431165
nation	0.00393703
peopl	0.00389175
say	0.00383576
million	0.00370851
charg	0.00340292
report	0.0033258
presid	0.00329935
offici	0.00322633
group	0.00309242
today	0.00297094
hous	0.00296068
law	0.00293397
day	0.0028546
week	0.00284415
==========	8	==========
year	0.0114329
state	0.00645189
govern	0.005472
million	0.00538229
report	0.00406841
new	0.00388081
compani	0.00387901
work	0.0037329
say	0.00349947
time	0.00346783
unit	0.00330869
nation	0.00327857
offici	0.00302301
percent	0.00301224
peopl	0.00294157
make	0.00289261
week	0.00283041
feder	0.00280368
presid	0.0027327
parti	0.00271314
==========	9	==========
year	0.00747004
nation	0.00608519
state	0.00604819
presid	0.00602802
new	0.00553846
report	0.00531129
offici	0.00518711
peopl	0.00511112
govern	0.0039027
million	0.00384684
south	0.00368659
unit	0.00365886
say	0.00354778
soviet	0.00341614
hous	0.00302826
told	0.00299919
week	0.00291115
bush	0.00283407
parti	0.00280398
citi	0.00275226
